pdf	page_count	sample_pages	rendered	status	findings
07_C_PUBLIC_EVIDENCE_DISCLOSURE_AND_REDACTION_BOUNDARY_v0_1_ACADEMIC.pdf	10	1,2,5,10	pdf_render_samples\07_C_PUBLIC_EVIDENCE_DISCLOSURE_AND_REDACTION_BOUNDARY_v0_1_ACADEMIC\page_0001-01.png:745x1053:mean=246.9:range=(0, 255); pdf_render_samples\07_C_PUBLIC_EVIDENCE_DISCLOSURE_AND_REDACTION_BOUNDARY_v0_1_ACADEMIC\page_0002-02.png:745x1053:mean=250.0:range=(0, 255); pdf_render_samples\07_C_PUBLIC_EVIDENCE_DISCLOSURE_AND_REDACTION_BOUNDARY_v0_1_ACADEMIC\page_0005-05.png:745x1053:mean=247.4:range=(0, 255); pdf_render_samples\07_C_PUBLIC_EVIDENCE_DISCLOSURE_AND_REDACTION_BOUNDARY_v0_1_ACADEMIC\page_0010-10.png:745x1053:mean=251.8:range=(0, 255)	PASS	
07a_PUBLIC_EVIDENCE_DISCLOSURE_MANIFEST_SCHEMA_AND_CHECKER_SEED_v0_1_ACADEMIC.pdf	5	1,2,5	pdf_render_samples\07a_PUBLIC_EVIDENCE_DISCLOSURE_MANIFEST_SCHEMA_AND_CHECKER_SEED_v0_1_ACADEMIC\page_0001-1.png:745x1053:mean=247.2:range=(0, 255); pdf_render_samples\07a_PUBLIC_EVIDENCE_DISCLOSURE_MANIFEST_SCHEMA_AND_CHECKER_SEED_v0_1_ACADEMIC\page_0002-2.png:745x1053:mean=251.8:range=(0, 255); pdf_render_samples\07a_PUBLIC_EVIDENCE_DISCLOSURE_MANIFEST_SCHEMA_AND_CHECKER_SEED_v0_1_ACADEMIC\page_0005-5.png:745x1053:mean=251.1:range=(0, 255)	PASS	
07b_PUBLIC_RELEASE_BUNDLE_AND_HASH_CUSTODY_AUDIT_v0_1_ACADEMIC.pdf	3	1,2,3	pdf_render_samples\07b_PUBLIC_RELEASE_BUNDLE_AND_HASH_CUSTODY_AUDIT_v0_1_ACADEMIC\page_0001-1.png:745x1053:mean=248.1:range=(0, 255); pdf_render_samples\07b_PUBLIC_RELEASE_BUNDLE_AND_HASH_CUSTODY_AUDIT_v0_1_ACADEMIC\page_0002-2.png:745x1053:mean=244.1:range=(0, 255); pdf_render_samples\07b_PUBLIC_RELEASE_BUNDLE_AND_HASH_CUSTODY_AUDIT_v0_1_ACADEMIC\page_0003-3.png:745x1053:mean=248.1:range=(0, 255)	PASS	
07c_PUBLIC_RETRACTION_SUPERSESSION_AND_ERRATA_LEDGER_v0_1_ACADEMIC.pdf	5	1,2,5	pdf_render_samples\07c_PUBLIC_RETRACTION_SUPERSESSION_AND_ERRATA_LEDGER_v0_1_ACADEMIC\page_0001-1.png:745x1053:mean=247.8:range=(0, 255); pdf_render_samples\07c_PUBLIC_RETRACTION_SUPERSESSION_AND_ERRATA_LEDGER_v0_1_ACADEMIC\page_0002-2.png:745x1053:mean=251.9:range=(0, 255); pdf_render_samples\07c_PUBLIC_RETRACTION_SUPERSESSION_AND_ERRATA_LEDGER_v0_1_ACADEMIC\page_0005-5.png:745x1053:mean=248.3:range=(0, 255)	PASS	
07d_PUBLIC_CORPUS_INDEX_AND_CITATION_SURFACE_SYNC_v0_1_ACADEMIC.pdf	3	1,2,3	pdf_render_samples\07d_PUBLIC_CORPUS_INDEX_AND_CITATION_SURFACE_SYNC_v0_1_ACADEMIC\page_0001-1.png:745x1053:mean=247.8:range=(0, 255); pdf_render_samples\07d_PUBLIC_CORPUS_INDEX_AND_CITATION_SURFACE_SYNC_v0_1_ACADEMIC\page_0002-2.png:745x1053:mean=244.6:range=(0, 255); pdf_render_samples\07d_PUBLIC_CORPUS_INDEX_AND_CITATION_SURFACE_SYNC_v0_1_ACADEMIC\page_0003-3.png:745x1053:mean=249.8:range=(0, 255)	PASS	
08_C_INTEROPERABILITY_PROFILE_AND_EXTERNAL_REVIEW_INTAKE_BOUNDARY_v0_1_ACADEMIC.pdf	12	1,2,6,12	pdf_render_samples\08_C_INTEROPERABILITY_PROFILE_AND_EXTERNAL_REVIEW_INTAKE_BOUNDARY_v0_1_ACADEMIC\page_0001-01.png:745x1053:mean=246.0:range=(0, 255); pdf_render_samples\08_C_INTEROPERABILITY_PROFILE_AND_EXTERNAL_REVIEW_INTAKE_BOUNDARY_v0_1_ACADEMIC\page_0002-02.png:745x1053:mean=250.0:range=(0, 255); pdf_render_samples\08_C_INTEROPERABILITY_PROFILE_AND_EXTERNAL_REVIEW_INTAKE_BOUNDARY_v0_1_ACADEMIC\page_0006-06.png:745x1053:mean=246.5:range=(0, 255); pdf_render_samples\08_C_INTEROPERABILITY_PROFILE_AND_EXTERNAL_REVIEW_INTAKE_BOUNDARY_v0_1_ACADEMIC\page_0012-12.png:745x1053:mean=252.0:range=(0, 255)	PASS	
08a_INTEROP_REVIEW_INTAKE_SCHEMA_AND_CHECKER_SEED_v0_1_ACADEMIC.pdf	5	1,2,5	pdf_render_samples\08a_INTEROP_REVIEW_INTAKE_SCHEMA_AND_CHECKER_SEED_v0_1_ACADEMIC\page_0001-1.png:745x1053:mean=248.1:range=(0, 255); pdf_render_samples\08a_INTEROP_REVIEW_INTAKE_SCHEMA_AND_CHECKER_SEED_v0_1_ACADEMIC\page_0002-2.png:745x1053:mean=251.6:range=(0, 255); pdf_render_samples\08a_INTEROP_REVIEW_INTAKE_SCHEMA_AND_CHECKER_SEED_v0_1_ACADEMIC\page_0005-5.png:745x1053:mean=250.3:range=(0, 255)	PASS	
08b_EXTERNAL_REVIEW_CONFLICT_RESOLUTION_AND_PATCH_INTAKE_LEDGER_v0_1_ACADEMIC.pdf	4	1,2,4	pdf_render_samples\08b_EXTERNAL_REVIEW_CONFLICT_RESOLUTION_AND_PATCH_INTAKE_LEDGER_v0_1_ACADEMIC\page_0001-1.png:745x1053:mean=247.7:range=(0, 255); pdf_render_samples\08b_EXTERNAL_REVIEW_CONFLICT_RESOLUTION_AND_PATCH_INTAKE_LEDGER_v0_1_ACADEMIC\page_0002-2.png:745x1053:mean=251.9:range=(0, 255); pdf_render_samples\08b_EXTERNAL_REVIEW_CONFLICT_RESOLUTION_AND_PATCH_INTAKE_LEDGER_v0_1_ACADEMIC\page_0004-4.png:745x1053:mean=246.0:range=(0, 255)	PASS	
08c_INTEROP_IMPLEMENTATION_REPORT_AND_REPRODUCTION_MAPPING_v0_1_ACADEMIC.pdf	4	1,2,4	pdf_render_samples\08c_INTEROP_IMPLEMENTATION_REPORT_AND_REPRODUCTION_MAPPING_v0_1_ACADEMIC\page_0001-1.png:745x1053:mean=247.6:range=(0, 255); pdf_render_samples\08c_INTEROP_IMPLEMENTATION_REPORT_AND_REPRODUCTION_MAPPING_v0_1_ACADEMIC\page_0002-2.png:745x1053:mean=252.7:range=(0, 255); pdf_render_samples\08c_INTEROP_IMPLEMENTATION_REPORT_AND_REPRODUCTION_MAPPING_v0_1_ACADEMIC\page_0004-4.png:745x1053:mean=248.8:range=(0, 255)	PASS	
08d_INTEROP_EXTERNAL_IMPLEMENTATION_DISCLOSURE_AND_TEST_VECTOR_REGISTRY_v0_1_ACADEMIC.pdf	4	1,2,4	pdf_render_samples\08d_INTEROP_EXTERNAL_IMPLEMENTATION_DISCLOSURE_AND_TEST_VECTOR_REGISTRY_v0_1_ACADEMIC\page_0001-1.png:745x1053:mean=246.6:range=(0, 255); pdf_render_samples\08d_INTEROP_EXTERNAL_IMPLEMENTATION_DISCLOSURE_AND_TEST_VECTOR_REGISTRY_v0_1_ACADEMIC\page_0002-2.png:745x1053:mean=252.8:range=(0, 255); pdf_render_samples\08d_INTEROP_EXTERNAL_IMPLEMENTATION_DISCLOSURE_AND_TEST_VECTOR_REGISTRY_v0_1_ACADEMIC\page_0004-4.png:745x1053:mean=249.7:range=(0, 255)	PASS	
09_C_DEPLOYMENT_PROFILE_AND_REGULATED_RELEASE_BOUNDARY_v0_1_ACADEMIC.pdf	16	1,2,8,16	pdf_render_samples\09_C_DEPLOYMENT_PROFILE_AND_REGULATED_RELEASE_BOUNDARY_v0_1_ACADEMIC\page_0001-01.png:745x1053:mean=245.8:range=(0, 255); pdf_render_samples\09_C_DEPLOYMENT_PROFILE_AND_REGULATED_RELEASE_BOUNDARY_v0_1_ACADEMIC\page_0002-02.png:745x1053:mean=249.8:range=(0, 255); pdf_render_samples\09_C_DEPLOYMENT_PROFILE_AND_REGULATED_RELEASE_BOUNDARY_v0_1_ACADEMIC\page_0008-08.png:745x1053:mean=245.4:range=(0, 255); pdf_render_samples\09_C_DEPLOYMENT_PROFILE_AND_REGULATED_RELEASE_BOUNDARY_v0_1_ACADEMIC\page_0016-16.png:745x1053:mean=247.5:range=(0, 255)	PASS	
09a_DEPLOYMENT_PROFILE_SCHEMA_AND_CHECKER_SEED_v0_1_ACADEMIC.pdf	13	1,2,6,13	pdf_render_samples\09a_DEPLOYMENT_PROFILE_SCHEMA_AND_CHECKER_SEED_v0_1_ACADEMIC\page_0001-01.png:745x1053:mean=247.4:range=(0, 255); pdf_render_samples\09a_DEPLOYMENT_PROFILE_SCHEMA_AND_CHECKER_SEED_v0_1_ACADEMIC\page_0002-02.png:745x1053:mean=250.6:range=(0, 255); pdf_render_samples\09a_DEPLOYMENT_PROFILE_SCHEMA_AND_CHECKER_SEED_v0_1_ACADEMIC\page_0006-06.png:745x1053:mean=247.3:range=(0, 255); pdf_render_samples\09a_DEPLOYMENT_PROFILE_SCHEMA_AND_CHECKER_SEED_v0_1_ACADEMIC\page_0013-13.png:745x1053:mean=248.5:range=(0, 255)	PASS	
09b_DEPLOYMENT_FIXTURE_PACK_AND_MUTATION_MATRIX_v0_1_ACADEMIC.pdf	8	1,2,4,8	pdf_render_samples\09b_DEPLOYMENT_FIXTURE_PACK_AND_MUTATION_MATRIX_v0_1_ACADEMIC\page_0001-1.png:745x1053:mean=247.6:range=(0, 255); pdf_render_samples\09b_DEPLOYMENT_FIXTURE_PACK_AND_MUTATION_MATRIX_v0_1_ACADEMIC\page_0002-2.png:745x1053:mean=252.0:range=(0, 255); pdf_render_samples\09b_DEPLOYMENT_FIXTURE_PACK_AND_MUTATION_MATRIX_v0_1_ACADEMIC\page_0004-4.png:745x1053:mean=246.8:range=(0, 255); pdf_render_samples\09b_DEPLOYMENT_FIXTURE_PACK_AND_MUTATION_MATRIX_v0_1_ACADEMIC\page_0008-8.png:745x1053:mean=252.4:range=(0, 255)	PASS	
09c_REGULATED_RELEASE_LEDGER_AND_WITHDRAWAL_DRILL_v0_1_ACADEMIC.pdf	7	1,2,3,7	pdf_render_samples\09c_REGULATED_RELEASE_LEDGER_AND_WITHDRAWAL_DRILL_v0_1_ACADEMIC\page_0001-1.png:745x1053:mean=246.8:range=(0, 255); pdf_render_samples\09c_REGULATED_RELEASE_LEDGER_AND_WITHDRAWAL_DRILL_v0_1_ACADEMIC\page_0002-2.png:745x1053:mean=252.1:range=(0, 255); pdf_render_samples\09c_REGULATED_RELEASE_LEDGER_AND_WITHDRAWAL_DRILL_v0_1_ACADEMIC\page_0003-3.png:745x1053:mean=243.5:range=(0, 255); pdf_render_samples\09c_REGULATED_RELEASE_LEDGER_AND_WITHDRAWAL_DRILL_v0_1_ACADEMIC\page_0007-7.png:745x1053:mean=251.1:range=(0, 255)	PASS	
09d_POST_DEPLOYMENT_AUDIT_AND_NEXT_RELEASE_ADMISSION_v0_1_ACADEMIC.pdf	6	1,2,3,6	pdf_render_samples\09d_POST_DEPLOYMENT_AUDIT_AND_NEXT_RELEASE_ADMISSION_v0_1_ACADEMIC\page_0001-1.png:745x1053:mean=247.0:range=(0, 255); pdf_render_samples\09d_POST_DEPLOYMENT_AUDIT_AND_NEXT_RELEASE_ADMISSION_v0_1_ACADEMIC\page_0002-2.png:745x1053:mean=251.9:range=(0, 255); pdf_render_samples\09d_POST_DEPLOYMENT_AUDIT_AND_NEXT_RELEASE_ADMISSION_v0_1_ACADEMIC\page_0003-3.png:745x1053:mean=245.1:range=(0, 255); pdf_render_samples\09d_POST_DEPLOYMENT_AUDIT_AND_NEXT_RELEASE_ADMISSION_v0_1_ACADEMIC\page_0006-6.png:745x1053:mean=250.2:range=(0, 255)	PASS	
10_THE_PLUS_OPERATOR_BOUNDARY_AND_PROTECTED_INCOMPLETENESS_v0_1_ACADEMIC.pdf	14	1,2,7,14	pdf_render_samples\10_THE_PLUS_OPERATOR_BOUNDARY_AND_PROTECTED_INCOMPLETENESS_v0_1_ACADEMIC\page_0001-01.png:745x1053:mean=247.3:range=(0, 255); pdf_render_samples\10_THE_PLUS_OPERATOR_BOUNDARY_AND_PROTECTED_INCOMPLETENESS_v0_1_ACADEMIC\page_0002-02.png:745x1053:mean=249.4:range=(0, 255); pdf_render_samples\10_THE_PLUS_OPERATOR_BOUNDARY_AND_PROTECTED_INCOMPLETENESS_v0_1_ACADEMIC\page_0007-07.png:745x1053:mean=247.8:range=(0, 255); pdf_render_samples\10_THE_PLUS_OPERATOR_BOUNDARY_AND_PROTECTED_INCOMPLETENESS_v0_1_ACADEMIC\page_0014-14.png:745x1053:mean=247.2:range=(0, 255)	PASS	
CCALC_DOC07_PUBLIC_EVIDENCE_STACK_INDEX_AND_RELEASE_MANIFEST_v0_1_ACADEMIC.pdf	3	1,2,3	pdf_render_samples\CCALC_DOC07_PUBLIC_EVIDENCE_STACK_INDEX_AND_RELEASE_MANIFEST_v0_1_ACADEMIC\page_0001-1.png:745x1053:mean=248.2:range=(0, 255); pdf_render_samples\CCALC_DOC07_PUBLIC_EVIDENCE_STACK_INDEX_AND_RELEASE_MANIFEST_v0_1_ACADEMIC\page_0002-2.png:745x1053:mean=245.9:range=(0, 255); pdf_render_samples\CCALC_DOC07_PUBLIC_EVIDENCE_STACK_INDEX_AND_RELEASE_MANIFEST_v0_1_ACADEMIC\page_0003-3.png:745x1053:mean=253.5:range=(0, 255)	PASS	
CCALC_DOC09_DEPLOYMENT_REGULATED_RELEASE_STACK_INDEX_AND_RELEASE_MANIFEST_v0_1_ACADEMIC.pdf	4	1,2,4	pdf_render_samples\CCALC_DOC09_DEPLOYMENT_REGULATED_RELEASE_STACK_INDEX_AND_RELEASE_MANIFEST_v0_1_ACADEMIC\page_0001-1.png:745x1053:mean=247.8:range=(0, 255); pdf_render_samples\CCALC_DOC09_DEPLOYMENT_REGULATED_RELEASE_STACK_INDEX_AND_RELEASE_MANIFEST_v0_1_ACADEMIC\page_0002-2.png:745x1053:mean=243.8:range=(0, 255); pdf_render_samples\CCALC_DOC09_DEPLOYMENT_REGULATED_RELEASE_STACK_INDEX_AND_RELEASE_MANIFEST_v0_1_ACADEMIC\page_0004-4.png:745x1053:mean=251.0:range=(0, 255)	PASS
