status	zip	script	returncode	log
PASS	CCALC_INTEROP_EXTERNAL_DISCLOSURE_TEST_VECTOR_08d_v0_1.zip	CCALC_INTEROP_EXTERNAL_DISCLOSURE_TEST_VECTOR_08d_v0_1\scripts\run_external_disclosure_test_vector_mutations.py	0	audit\checker_runs\checker_011.log
PASS	CCALC_INTEROP_IMPLEMENTATION_REPRODUCTION_08c_v0_1.zip	CCALC_INTEROP_IMPLEMENTATION_REPRODUCTION_08c_v0_1\scripts\run_implementation_reproduction_fixtures.py	0	audit\checker_runs\checker_012.log
PASS	CCALC_INTEROP_IMPLEMENTATION_REPRODUCTION_08c_v0_1.zip	CCALC_INTEROP_IMPLEMENTATION_REPRODUCTION_08c_v0_1\scripts\run_implementation_reproduction_mutations.py	0	audit\checker_runs\checker_013.log
PASS	CCALC_INTEROP_REVIEW_INTAKE_08a_v0_1.zip	CCALC_INTEROP_REVIEW_INTAKE_08a_v0_1\scripts\run_interop_fixtures.py	0	audit\checker_runs\checker_014.log
PASS	CCALC_INTEROP_REVIEW_INTAKE_08a_v0_1.zip	CCALC_INTEROP_REVIEW_INTAKE_08a_v0_1\scripts\run_interop_mutations.py	0	audit\checker_runs\checker_015.log
PASS	CCALC_MULTI_CONTOUR_HANDOFF_TOOL_LEASE_06b_v0_1.zip	CCALC_MULTI_CONTOUR_HANDOFF_TOOL_LEASE_06b_v0_1\scripts\run_06b_fixtures.py	0	audit\checker_runs\checker_016.log
PASS	CCALC_MULTI_CONTOUR_HANDOFF_TOOL_LEASE_06b_v0_1.zip	CCALC_MULTI_CONTOUR_HANDOFF_TOOL_LEASE_06b_v0_1\scripts\run_06b_mutations.py	0	audit\checker_runs\checker_017.log
PASS	CCALC_POST_DEPLOYMENT_AUDIT_NEXT_RELEASE_09d_v0_1 (1).zip	CCALC_POST_DEPLOYMENT_AUDIT_NEXT_RELEASE_09d_v0_1\scripts\run_09d_fixtures.py	0	audit\checker_runs\checker_018.log
PASS	CCALC_POST_DEPLOYMENT_AUDIT_NEXT_RELEASE_09d_v0_1 (1).zip	CCALC_POST_DEPLOYMENT_AUDIT_NEXT_RELEASE_09d_v0_1\scripts\run_09d_mutations.py	0	audit\checker_runs\checker_019.log
PASS	CCALC_POST_DEPLOYMENT_AUDIT_NEXT_RELEASE_09d_v0_1 (2).zip	CCALC_POST_DEPLOYMENT_AUDIT_NEXT_RELEASE_09d_v0_1\scripts\run_09d_fixtures.py	0	audit\checker_runs\checker_020.log
PASS	CCALC_POST_DEPLOYMENT_AUDIT_NEXT_RELEASE_09d_v0_1 (2).zip	CCALC_POST_DEPLOYMENT_AUDIT_NEXT_RELEASE_09d_v0_1\scripts\run_09d_mutations.py	0	audit\checker_runs\checker_021.log
PASS	CCALC_POST_DEPLOYMENT_AUDIT_NEXT_RELEASE_09d_v0_1.zip	CCALC_POST_DEPLOYMENT_AUDIT_NEXT_RELEASE_09d_v0_1\scripts\run_09d_fixtures.py	0	audit\checker_runs\checker_022.log
PASS	CCALC_POST_DEPLOYMENT_AUDIT_NEXT_RELEASE_09d_v0_1.zip	CCALC_POST_DEPLOYMENT_AUDIT_NEXT_RELEASE_09d_v0_1\scripts\run_09d_mutations.py	0	audit\checker_runs\checker_023.log
PASS	CCALC_PUBLIC_CORPUS_CITATION_SYNC_07d_v0_1.zip	CCALC_PUBLIC_CORPUS_CITATION_SYNC_07d_v0_1\scripts\run_corpus_citation_fixtures.py	0	audit\checker_runs\checker_024.log
PASS	CCALC_PUBLIC_CORPUS_CITATION_SYNC_07d_v0_1.zip	CCALC_PUBLIC_CORPUS_CITATION_SYNC_07d_v0_1\scripts\run_corpus_citation_mutations.py	0	audit\checker_runs\checker_025.log
PASS	CCALC_PUBLIC_EVIDENCE_DISCLOSURE_MANIFEST_07a_v0_1.zip	scripts\run_public_evidence_fixtures.py	0	audit\checker_runs\checker_026.log
PASS	CCALC_PUBLIC_EVIDENCE_DISCLOSURE_MANIFEST_07a_v0_1.zip	scripts\run_public_evidence_mutations.py	0	audit\checker_runs\checker_027.log
PASS	CCALC_PUBLIC_RELEASE_HASH_CUSTODY_07b_v0_1.zip	CCALC_PUBLIC_RELEASE_HASH_CUSTODY_07b_v0_1\scripts\run_release_bundle_fixtures.py	0	audit\checker_runs\checker_028.log
PASS	CCALC_PUBLIC_RELEASE_HASH_CUSTODY_07b_v0_1.zip	CCALC_PUBLIC_RELEASE_HASH_CUSTODY_07b_v0_1\scripts\run_release_bundle_mutations.py	0	audit\checker_runs\checker_029.log
PASS	CCALC_PUBLIC_RETRACTION_SUPERSESSION_ERRATA_07c_v0_1.zip	CCALC_PUBLIC_RETRACTION_SUPERSESSION_ERRATA_07c_v0_1\scripts\run_07c_fixtures.py	0	audit\checker_runs\checker_030.log
PASS	CCALC_PUBLIC_RETRACTION_SUPERSESSION_ERRATA_07c_v0_1.zip	CCALC_PUBLIC_RETRACTION_SUPERSESSION_ERRATA_07c_v0_1\scripts\run_07c_mutations.py	0	audit\checker_runs\checker_031.log
PASS	CCALC_REGULATED_RELEASE_LEDGER_WITHDRAWAL_09c_v0_1.zip	CCALC_REGULATED_RELEASE_LEDGER_WITHDRAWAL_09c_v0_1\scripts\run_09c_fixtures.py	0	audit\checker_runs\checker_032.log
PASS	CCALC_REGULATED_RELEASE_LEDGER_WITHDRAWAL_09c_v0_1.zip	CCALC_REGULATED_RELEASE_LEDGER_WITHDRAWAL_09c_v0_1\scripts\run_09c_mutations.py	0	audit\checker_runs\checker_033.log
PASS	CCALC_RUNTIME_AUTHORITY_MANIFEST_06a_v0_1.zip	CCALC_RUNTIME_AUTHORITY_MANIFEST_06a_v0_1\scripts\run_runtime_authority_fixtures.py	0	audit\checker_runs\checker_034.log
PASS	CCALC_RUNTIME_AUTHORITY_MANIFEST_06a_v0_1.zip	CCALC_RUNTIME_AUTHORITY_MANIFEST_06a_v0_1\scripts\run_runtime_authority_mutations.py	0	audit\checker_runs\checker_035.log
PASS	CCALC_RUNTIME_AUTHORITY_REVOCATION_06d_v0_1.zip	CCALC_RUNTIME_AUTHORITY_REVOCATION_06d_v0_1\scripts\run_post_session_fixtures.py	0	audit\checker_runs\checker_036.log
PASS	CCALC_RUNTIME_AUTHORITY_REVOCATION_06d_v0_1.zip	CCALC_RUNTIME_AUTHORITY_REVOCATION_06d_v0_1\scripts\run_post_session_mutations.py	0	audit\checker_runs\checker_037.log
PASS	CCALC_RUNTIME_SESSION_LEDGER_06c_v0_1.zip	CCALC_RUNTIME_SESSION_LEDGER_06c_v0_1\scripts\run_runtime_session_fixtures.py	0	audit\checker_runs\checker_038.log
PASS	CCALC_RUNTIME_SESSION_LEDGER_06c_v0_1.zip	CCALC_RUNTIME_SESSION_LEDGER_06c_v0_1\scripts\run_runtime_session_mutations.py	0	audit\checker_runs\checker_039.log
PASS	CCALC_SELF_EVO_BOUNDARY_HARDENING_05b_v0_1.zip	CCALC_SELF_EVO_BOUNDARY_HARDENING_05b_v0_1\scripts\run_self_evo_boundary_fixtures.py	0	audit\checker_runs\checker_040.log
PASS	CCALC_SELF_EVO_BOUNDARY_HARDENING_05b_v0_1.zip	CCALC_SELF_EVO_BOUNDARY_HARDENING_05b_v0_1\scripts\run_self_evo_boundary_mutations.py	0	audit\checker_runs\checker_041.log
PASS	CCALC_SELF_EVO_POST_PROMOTION_WATCH_05d_v0_1.zip	CCALC_SELF_EVO_POST_PROMOTION_WATCH_05d_v0_1\scripts\run_self_evo_watch_fixtures.py	0	audit\checker_runs\checker_042.log
PASS	CCALC_SELF_EVO_POST_PROMOTION_WATCH_05d_v0_1.zip	CCALC_SELF_EVO_POST_PROMOTION_WATCH_05d_v0_1\scripts\run_self_evo_watch_mutations.py	0	audit\checker_runs\checker_043.log
PASS	CCALC_SELF_EVO_PROMOTION_LEDGER_05c_v0_1.zip	CCALC_SELF_EVO_PROMOTION_LEDGER_05c_v0_1\scripts\run_promotion_ledger_fixtures.py	0	audit\checker_runs\checker_044.log
PASS	CCALC_SELF_EVO_PROMOTION_LEDGER_05c_v0_1.zip	CCALC_SELF_EVO_PROMOTION_LEDGER_05c_v0_1\scripts\run_promotion_ledger_mutations.py	0	audit\checker_runs\checker_045.log
PASS	CCALC_SELF_EVO_PROPOSAL_PACKET_05a_v0_1.zip	CCALC_SELF_EVO_PROPOSAL_PACKET_05a_v0_1\scripts\run_self_evo_fixtures.py	0	audit\checker_runs\checker_046.log
PASS	CCALC_SELF_EVO_PROPOSAL_PACKET_05a_v0_1.zip	CCALC_SELF_EVO_PROPOSAL_PACKET_05a_v0_1\scripts\run_self_evo_mutations.py	0	audit\checker_runs\checker_047.log
