source	pdf	title	document_id	page_count	sha256	status
06d_RUNTIME_AUTHORITY_REVOCATION_AND_POST_SESSION_AUDIT_v0_1.md	06d_RUNTIME_AUTHORITY_REVOCATION_AND_POST_SESSION_AUDIT_v0_1_ACADEMIC.pdf	06d — Runtime Authority Revocation and Post-Session Audit v0.1	06d_RUNTIME_AUTHORITY_REVOCATION_AND_POST_SESSION_AUDIT_v0_1	5	da3453ab5f1e39379a2842b86fa24a6edcf22758eec5189fd697295f38b97b0c	BUILT
07_C_PUBLIC_EVIDENCE_DISCLOSURE_AND_REDACTION_BOUNDARY_v0_1.md	07_C_PUBLIC_EVIDENCE_DISCLOSURE_AND_REDACTION_BOUNDARY_v0_1_ACADEMIC.pdf	07 — C Public Evidence Disclosure and Redaction Boundary v0.1	07_C_PUBLIC_EVIDENCE_DISCLOSURE_AND_REDACTION_BOUNDARY_v0_1.md	10	dea73e83cab936c4564d066bc5fb27270ce3849cbc79e1b2823f14476ccc399c	BUILT
07a_PUBLIC_EVIDENCE_DISCLOSURE_MANIFEST_SCHEMA_AND_CHECKER_SEED_v0_1.md	07a_PUBLIC_EVIDENCE_DISCLOSURE_MANIFEST_SCHEMA_AND_CHECKER_SEED_v0_1_ACADEMIC.pdf	07a — Public Evidence Disclosure Manifest Schema and Checker Seed v0.1	07a_PUBLIC_EVIDENCE_DISCLOSURE_MANIFEST_SCHEMA_AND_CHECKER_SEED_v0_1	5	ccf91e814d227312ef11ce2954bb153c48d4af2e01533f601b7fe7b6861c3e1c	BUILT
07b_PUBLIC_RELEASE_BUNDLE_AND_HASH_CUSTODY_AUDIT_v0_1.md	07b_PUBLIC_RELEASE_BUNDLE_AND_HASH_CUSTODY_AUDIT_v0_1_ACADEMIC.pdf	07b — Public Release Bundle and Hash Custody Audit v0.1	07b_PUBLIC_RELEASE_BUNDLE_AND_HASH_CUSTODY_AUDIT_v0_1	3	edf7616075463738af898a8c5d19a67992528d77621fada797624d00fe3237a3	BUILT
07c_PUBLIC_RETRACTION_SUPERSESSION_AND_ERRATA_LEDGER_v0_1.md	07c_PUBLIC_RETRACTION_SUPERSESSION_AND_ERRATA_LEDGER_v0_1_ACADEMIC.pdf	07c — Public Retraction, Supersession, and Errata Ledger v0.1	07c_PUBLIC_RETRACTION_SUPERSESSION_AND_ERRATA_LEDGER_v0_1	5	fc3b6cf1b2f14d5a36857eb919e981f4f09d509ff35047c596594e99de84f085	BUILT
07d_PUBLIC_CORPUS_INDEX_AND_CITATION_SURFACE_SYNC_v0_1.md	07d_PUBLIC_CORPUS_INDEX_AND_CITATION_SURFACE_SYNC_v0_1_ACADEMIC.pdf	07d — Public Corpus Index and Citation Surface Sync v0.1	07d_PUBLIC_CORPUS_INDEX_AND_CITATION_SURFACE_SYNC_v0_1	3	bbcc53a65fad31f82e8a8e098efdea0ee0c9c161720b781d780dd60ae32b5e7e	BUILT
08_C_INTEROPERABILITY_PROFILE_AND_EXTERNAL_REVIEW_INTAKE_BOUNDARY_v0_1.md	08_C_INTEROPERABILITY_PROFILE_AND_EXTERNAL_REVIEW_INTAKE_BOUNDARY_v0_1_ACADEMIC.pdf	08 — C Interoperability Profile and External Review Intake Boundary v0.1	08_C_INTEROPERABILITY_PROFILE_AND_EXTERNAL_REVIEW_INTAKE_BOUNDARY_v0_1.md	12	62def8bbc8546cf3b894093f30fbefbff7bfd658549dcc5b1e9e313c454ebbdd	BUILT
08a_INTEROP_REVIEW_INTAKE_SCHEMA_AND_CHECKER_SEED_v0_1.md	08a_INTEROP_REVIEW_INTAKE_SCHEMA_AND_CHECKER_SEED_v0_1_ACADEMIC.pdf	08a — Interop Review Intake Schema and Checker Seed v0.1	08a_INTEROP_REVIEW_INTAKE_SCHEMA_AND_CHECKER_SEED_v0_1	5	a235fbd78f586d15502da72dd559934a6c14201a0805c926666d7be46818e942	BUILT
08b_EXTERNAL_REVIEW_CONFLICT_RESOLUTION_AND_PATCH_INTAKE_LEDGER_v0_1.md	08b_EXTERNAL_REVIEW_CONFLICT_RESOLUTION_AND_PATCH_INTAKE_LEDGER_v0_1_ACADEMIC.pdf	08b — External Review Conflict Resolution and Patch Intake Ledger v0.1	08b_EXTERNAL_REVIEW_CONFLICT_RESOLUTION_AND_PATCH_INTAKE_LEDGER_v0_1	4	d2642fc3bf0ad9f9fafbb676a1fb2d721244f14d041ccb01fde588c6bcaac9bb	BUILT
08c_INTEROP_IMPLEMENTATION_REPORT_AND_REPRODUCTION_MAPPING_v0_1.md	08c_INTEROP_IMPLEMENTATION_REPORT_AND_REPRODUCTION_MAPPING_v0_1_ACADEMIC.pdf	08c — Interop Implementation Report and Reproduction Mapping v0.1	08c_INTEROP_IMPLEMENTATION_REPORT_AND_REPRODUCTION_MAPPING_v0_1	4	1206ad7bde6a501d7dc5db89acb7b062919804915a8652033fb26d50a540673f	BUILT
08d_INTEROP_EXTERNAL_IMPLEMENTATION_DISCLOSURE_AND_TEST_VECTOR_REGISTRY_v0_1.md	08d_INTEROP_EXTERNAL_IMPLEMENTATION_DISCLOSURE_AND_TEST_VECTOR_REGISTRY_v0_1_ACADEMIC.pdf	08d — Interop External Implementation Disclosure and Test Vector Registry v0.1	08d_INTEROP_EXTERNAL_IMPLEMENTATION_DISCLOSURE_AND_TEST_VECTOR_REGISTRY_v0_1	4	df19052384be37d01bd3cb79d54da0adef48f91903fb60adb47205cba40984ab	BUILT
09_C_DEPLOYMENT_PROFILE_AND_REGULATED_RELEASE_BOUNDARY_v0_1.md	09_C_DEPLOYMENT_PROFILE_AND_REGULATED_RELEASE_BOUNDARY_v0_1_ACADEMIC.pdf	09 — C Deployment Profile and Regulated Release Boundary v0.1	09_C_DEPLOYMENT_PROFILE_AND_REGULATED_RELEASE_BOUNDARY_v0_1.md	16	5d260fbabc1268f1d2f813932494f227836d383c8d10cfe248a0b843dc7344f4	BUILT
09a_DEPLOYMENT_PROFILE_SCHEMA_AND_CHECKER_SEED_v0_1.md	09a_DEPLOYMENT_PROFILE_SCHEMA_AND_CHECKER_SEED_v0_1_ACADEMIC.pdf	09a — Deployment Profile Schema and Checker Seed v0.1	09a_DEPLOYMENT_PROFILE_SCHEMA_AND_CHECKER_SEED_v0_1.md	13	abf070ef4cff251d8da27a54e164e378dbca58af97f82e36adb76e0f103c4c97	BUILT
09b_DEPLOYMENT_FIXTURE_PACK_AND_MUTATION_MATRIX_v0_1.md	09b_DEPLOYMENT_FIXTURE_PACK_AND_MUTATION_MATRIX_v0_1_ACADEMIC.pdf	09b — Deployment Fixture Pack and Mutation Matrix v0.1	09b_DEPLOYMENT_FIXTURE_PACK_AND_MUTATION_MATRIX_v0_1	8	a1ba8c36511be4dbda90d2a3ce6f0d93ae262064678f06ae6597e7e13b66450d	BUILT
09c_REGULATED_RELEASE_LEDGER_AND_WITHDRAWAL_DRILL_v0_1.md	09c_REGULATED_RELEASE_LEDGER_AND_WITHDRAWAL_DRILL_v0_1_ACADEMIC.pdf	09c — Regulated Release Ledger and Withdrawal Drill v0.1	09c_REGULATED_RELEASE_LEDGER_AND_WITHDRAWAL_DRILL_v0_1	7	f5523eaffa9c7a26bf388a0ab0dc85b1d45d2ae5c634037bf48c459b7b6c9998	BUILT
09d_POST_DEPLOYMENT_AUDIT_AND_NEXT_RELEASE_ADMISSION_v0_1.md	09d_POST_DEPLOYMENT_AUDIT_AND_NEXT_RELEASE_ADMISSION_v0_1_ACADEMIC.pdf	09d — Post-Deployment Audit and Next-Release Admission v0.1	09d_POST_DEPLOYMENT_AUDIT_AND_NEXT_RELEASE_ADMISSION_v0_1	6	0f88688882da063a9a2a3aca21e3c81d41d55bfab184dcdf43a839efc657d46b	BUILT
10_THE_PLUS_OPERATOR_BOUNDARY_AND_PROTECTED_INCOMPLETENESS_v0_1.md	10_THE_PLUS_OPERATOR_BOUNDARY_AND_PROTECTED_INCOMPLETENESS_v0_1_ACADEMIC.pdf	10 — The Plus Operator Boundary and Protected Incompleteness v0.1	10_THE_PLUS_OPERATOR_BOUNDARY_AND_PROTECTED_INCOMPLETENESS_v0_1.md	14	1785114bff6c278703909f778f3910c58f7be16a7f17facbf6e361569d157892	BUILT
CCALC_DOC07_PUBLIC_EVIDENCE_STACK_INDEX_AND_RELEASE_MANIFEST_v0_1.md	CCALC_DOC07_PUBLIC_EVIDENCE_STACK_INDEX_AND_RELEASE_MANIFEST_v0_1_ACADEMIC.pdf	CCALC Doc07 Public Evidence Stack — Index and Release Manifest v0.1	CCALC_DOC07_PUBLIC_EVIDENCE_STACK_UMBRELLA_v0_1	3	ee3c02deefd8697a994d9f71fcce95147f454dc1a89b99773359f8b10c597f2d	BUILT
CCALC_DOC09_DEPLOYMENT_REGULATED_RELEASE_STACK_INDEX_AND_RELEASE_MANIFEST_v0_1.md	CCALC_DOC09_DEPLOYMENT_REGULATED_RELEASE_STACK_INDEX_AND_RELEASE_MANIFEST_v0_1_ACADEMIC.pdf	CCALC DOC09 Deployment / Regulated Release Stack Umbrella v0.1	CCALC_DOC09_DEPLOYMENT_REGULATED_RELEASE_STACK_INDEX_AND_RELEASE_MANIFEST_v0_1	4	3a32d998f01f25c76a2a7d053f21789fed739c80fd23624e018f9efddb101486	BUILT
